source_layer,source_subcat,layer_slug,subcat_slug,label_dimension,label_value,label_cn
极端与真实场景,金融,edge-real-world,finance,real_world_scene,finance,金融
极端与真实场景,医疗,edge-real-world,healthcare,real_world_scene,healthcare,医疗
极端与真实场景,极度模糊,edge-real-world,highly-ambiguous,real_world_scene,highly_ambiguous,极度模糊
极端与真实场景,法律,edge-real-world,legal,real_world_scene,legal,法律
极端与真实场景,地域限定,edge-real-world,location-specific,real_world_scene,location_specific,地域限定
极端与真实场景,多约束真实任务,edge-real-world,multi-constraint,real_world_scene,multi_constraint,多约束真实任务
极端与真实场景,操作步骤,edge-real-world,procedural,real_world_scene,procedural,操作步骤
极端与真实场景,时间敏感,edge-real-world,time-sensitive,real_world_scene,time_sensitive,时间敏感
行业维度,美容美发,industry,beauty-hair,industry,beauty_hair,美容美发
行业维度,餐饮,industry,food-beverage,industry,food_beverage,餐饮
行业维度,酒店民宿,industry,hotels-homestays,industry,hotels_homestays,酒店民宿
行业维度,休闲娱乐,industry,leisure-entertainment,industry,leisure_entertainment,休闲娱乐
行业维度,婚庆摄影,industry,wedding-photography,industry,wedding_photography,婚庆摄影
行业维度,保健养生,industry,wellness,industry,wellness,保健养生
提示风格,专家角色,prompt-style,expert-role,prompt_style,expert_role,专家角色
提示风格,自然提问,prompt-style,natural-query,prompt_style,natural_query,自然提问
提示风格,要求来源,prompt-style,source-required,prompt_style,source_required,要求来源
提问属性,汇总类,query-intent,aggregation,query_intent,aggregation,汇总类
提问属性,品牌类,query-intent,brand,query_intent,brand,品牌类
提问属性,对比类,query-intent,comparison,query_intent,comparison,对比类
提问属性,购买类-电商,query-intent,ecommerce-purchase,query_intent,ecommerce_purchase,购买类：电商
提问属性,事实类,query-intent,factual,query_intent,factual,事实类
提问属性,购买类-本地生活,query-intent,local-services-purchase,query_intent,local_services_purchase,购买类：本地生活
提问属性,口碑类,query-intent,reputation,query_intent,reputation,口碑类
提问属性,场景类,query-intent,scenario,query_intent,scenario,场景类
时间敏感度,高,time-sensitivity,high,time_sensitivity,high,高
时间敏感度,中,time-sensitivity,medium,time_sensitivity,medium,中
时间敏感度,低,time-sensitivity,low,time_sensitivity,low,低
触发强度,高,trigger-intensity,high,trigger_intensity,high,高
触发强度,中,trigger-intensity,medium,trigger_intensity,medium,中
触发强度,低,trigger-intensity,low,trigger_intensity,low,低
未分类,未分类,uncategorized,uncategorized,legacy_status,uncategorized,未分类
