分类,文件名,论文题名,年份,页数,文件大小MB,来源,URL,备注
01_GEO基础框架,01_GEO基础框架_GEO_Generative_Engine_Optimization.pdf,GEO: Generative Engine Optimization,2023/2024,12,1.35,"arXiv, KDD 2024",https://arxiv.org/pdf/2311.09735,GEO 概念和 GEO-bench 的奠基论文
01_GEO基础框架,01_GEO基础框架_GEO_in_Digital_Repositories.pdf,Generative Engine Optimization in Digital Repositories: Optimizing Visibility for Generative AI,2025,25,0.53,Infonomy,https://infonomy.scimagoepi.com/index.php/infonomy/en/article/download/115/153/217,数字知识库中的 GEO 应用
01_GEO基础框架,01_GEO基础框架_How_to_Dominate_AI_Search.pdf,Generative Engine Optimization: How to Dominate AI Search,2025,27,14.61,arXiv,https://arxiv.org/pdf/2509.08919,面向 AI Search 可见性的综合框架
01_GEO基础框架,01_GEO基础框架_Navigating_the_Shift_Web_Search_vs_Generative_AI_Response.pdf,Navigating the Shift: A Comparative Analysis of Web Search and Generative AI Response Generation,2026,4,1.75,arXiv,https://arxiv.org/pdf/2601.16858,传统搜索与生成式回答的对比分析
02_GEO方法优化,02_GEO方法优化_Beyond_Keywords_Content_Centric_Agents_GSEO.pdf,Beyond Keywords: Driving Generative Search Engine Optimization with Content-Centric Agents,2025,16,0.75,arXiv,https://arxiv.org/pdf/2509.05607,内容中心代理驱动的 GSEO 方法
02_GEO方法优化,02_GEO方法优化_Beyond_SEO_Transformer_Content_Optimisation.pdf,Beyond SEO: A Transformer-Based Approach for Reinventing Web Content Optimisation,2025,9,0.64,arXiv mirror,https://arxiv.org/pdf/2507.03169,Transformer 辅助网页内容优化
02_GEO方法优化,02_GEO方法优化_IF_GEO_Conflict_Aware_Instruction_Fusion.pdf,IF-GEO: Conflict-Aware Instruction Fusion for Multi-Query Generative Engine Optimization,2026,15,1.34,arXiv,https://arxiv.org/pdf/2601.13938,多查询场景中的冲突感知指令融合
02_GEO方法优化,02_GEO方法优化_Role_Augmented_Intent_Driven_GSEO.pdf,Role-Augmented Intent-Driven Generative Search Engine Optimization,2025,15,1.73,arXiv,https://arxiv.org/pdf/2508.11158,角色增强和意图驱动的优化
02_GEO方法优化,02_GEO方法优化_Think_Before_Writing_Feature_Level_Optimization.pdf,Think Before Writing: Feature-Level Optimization for Generative Engine Optimization,2026,14,0.69,arXiv,https://arxiv.org/pdf/2604.19113,特征级内容优化方法
02_GEO方法优化,02_GEO方法优化_What_Generative_Search_Engines_Like.pdf,What Generative Search Engines Like: Explaining and Optimizing Website Visibility in Generative Search,2025,30,1.17,arXiv,https://arxiv.org/pdf/2510.11438,解释生成式搜索偏好的可见性研究
