domain,source_category_l1,source_category_l1_cn,source_type,source_type_cn,ecosystem,classification_status,classification_method,classification_confidence,classification_evidence
baidu.com,platform_community,平台与社区,content_platform,内容平台,百度,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
iesdouyin.com,platform_community,平台与社区,social_content_platform,社交内容平台,字节跳动,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
qq.com,platform_community,平台与社区,content_platform,内容平台,腾讯,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
toutiao.com,platform_community,平台与社区,content_platform,内容平台,字节跳动,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
sohu.com,news_media,新闻与媒体,news_media,综合新闻媒体,搜狐,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
maigoo.com,business_services,商业信息与服务,commercial_recommendation,商业推荐与榜单内容,买购网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
smzdm.com,platform_community,平台与社区,interest_community,兴趣与生活社区,什么值得买,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
sm.cn,search_page_proxy,搜索与页面代理,search_proxy,搜索与页面代理,阿里巴巴,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
163.com,news_media,新闻与媒体,news_media,综合新闻媒体,网易,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
chinapp.com,business_services,商业信息与服务,commercial_recommendation,商业推荐与榜单内容,品牌网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
cnpp.cn,business_services,商业信息与服务,commercial_recommendation,商业推荐与榜单内容,CNPP,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
ctrip.com,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,携程,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
sina.cn,news_media,新闻与媒体,news_media,综合新闻媒体,新浪,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
dianping.com,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,美团,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
sina.com.cn,news_media,新闻与媒体,news_media,综合新闻媒体,新浪,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
taobao.com,business_services,商业信息与服务,ecommerce,电商平台,阿里巴巴,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
cnblogs.com,platform_community,平台与社区,professional_community,专业技术社区,博客园,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
xnnews.com.cn,news_media,新闻与媒体,regional_news_media,地方新闻媒体,咸宁日报,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
bendibao.com,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,本地宝,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
zol.com.cn,vertical_professional,垂直专业内容,technology_content,科技专业内容,中关村在线,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
zhihu.com,platform_community,平台与社区,knowledge_community,知识社区,知乎,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
36kr.com,news_media,新闻与媒体,business_media,商业财经媒体,36氪,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
cofool.com,platform_community,平台与社区,finance_community,财经社区,叩富,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
autohome.com.cn,vertical_professional,垂直专业内容,automotive_content,汽车专业内容,汽车之家,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
jd.com,business_services,商业信息与服务,ecommerce,电商平台,京东,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
book118.com,research_documentation,研究与文档,document_platform,文档平台,原创力文档,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
bilibili.com,platform_community,平台与社区,video_community,视频社区,哔哩哔哩,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
pcauto.com.cn,vertical_professional,垂直专业内容,automotive_content,汽车专业内容,太平洋汽车,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
cnpp100.com,business_services,商业信息与服务,commercial_recommendation,商业推荐与榜单内容,品牌100网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
chinabgao.com,research_documentation,研究与文档,industry_research,行业研究与数据,中国报告大厅,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
thepaper.cn,news_media,新闻与媒体,news_media,综合新闻媒体,澎湃新闻,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
bjnews.com.cn,news_media,新闻与媒体,news_media,综合新闻媒体,新京报,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
ithome.com,vertical_professional,垂直专业内容,technology_content,科技专业内容,IT之家,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
trip.com,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,Trip.com,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
jiemian.com,news_media,新闻与媒体,business_media,商业财经媒体,界面新闻,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
ifeng.com,news_media,新闻与媒体,news_media,综合新闻媒体,凤凰网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
pconline.com.cn,vertical_professional,垂直专业内容,technology_content,科技专业内容,太平洋科技,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
eastmoney.com,news_media,新闻与媒体,business_media,商业财经媒体,东方财富,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
docin.com,research_documentation,研究与文档,document_platform,文档平台,豆丁网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
jinritemai.com,business_services,商业信息与服务,ecommerce,电商平台,抖音电商,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
baike.com,research_documentation,研究与文档,knowledge_base,专业知识库,抖音百科,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
gelonghui.com,news_media,新闻与媒体,business_media,商业财经媒体,格隆汇,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
dongchedi.com,vertical_professional,垂直专业内容,automotive_content,汽车专业内容,懂车帝,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
uc.cn,platform_community,平台与社区,content_platform,内容平台,UC,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
39.net,vertical_professional,垂直专业内容,health_content,医疗健康内容,39健康网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
phb123.com,business_services,商业信息与服务,commercial_recommendation,商业推荐与榜单内容,排行榜123网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
to8to.com,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,土巴兔,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
china.com,news_media,新闻与媒体,news_media,综合新闻媒体,中华网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
iimedia.cn,research_documentation,研究与文档,industry_research,行业研究与数据,艾媒咨询,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
canyin88.com,vertical_professional,垂直专业内容,industry_content,行业专业内容,红餐网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
china.com.cn,news_media,新闻与媒体,news_media,综合新闻媒体,中国网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
sogou.com,search_page_proxy,搜索与页面代理,search_proxy,搜索与页面代理,搜狗,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
hunliji.com,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,婚礼纪,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
dzwww.com,news_media,新闻与媒体,regional_news_media,地方新闻媒体,大众网,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
askci.com,research_documentation,研究与文档,industry_research,行业研究与数据,中商产业研究院,curated,legacy_curated,high,原有高频域名人工映射，经本轮一级分类体系复核
anxjm.com,business_services,商业信息与服务,business_franchise,商业信息与加盟服务,安心加盟网,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“安心加盟网”；标题样本“【表】名创优品百货加盟费用多少钱-加盟费用明细-安心加盟网 || 名创优品加盟条件-加盟费用要求(5-10万元)-安心加盟网 || 婚庆加盟_婚庆加盟店_婚庆连锁加盟_婚庆公司加盟”
cityhui.com,business_services,商业信息与服务,local_service_platform,本地服务与用户内容,城市惠,reviewed,manual_review,high,主站关于页说明其提供注册用户信息存储与商家入驻服务：https://www.cityhui.com/about/contact.html
xtrb.cn,news_media,新闻与媒体,regional_news_media,地方新闻媒体,邢台日报,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“邢台日报”；标题样本“2025-2026年北京婚纱摄影机构推荐:五家产品评测高性价比选择户外拍摄应对天气突变注意事项-邢台网-邢台日报社 || 2026年深圳注册公司全流程及费用行业观察：深圳ai代账与”
ijia.city,business_services,商业信息与服务,commercial_recommendation,商业推荐与榜单内容,,reviewed,manual_review,medium,"人工复核域名、站点名与标题样本：站点名“ijia.city”；标题样本“2026年实力之选:青岛酸奶玉米披萨,重磅榴莲披萨点五家企业用户力荐 || 2026性价比之选:杭州热门的月子中心哪家靠谱五家企业多人种草 || 2026杭州有实力的月子中心,优秀”"
shangyexinzhi.com,business_services,商业信息与服务,business_content_platform,商业内容平台,商业新知,reviewed,manual_review,high,人工复核域名、站点名与标题样本：站点名“商业新知”；标题样本“2026包子连锁加盟优质品牌推荐榜_优质品牌商家-商业新知 || 2026年创意的食品年货礼盒牌子推荐，看看排名前十都有谁_工业品牌-商业新知 || 2026年婚纱照品牌哪家好，行”
